route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
L99,ILE,L99,ARMENTIÈRES<> ST PHILIBERT,,3,,00ACA5,FFFFFF
975,ILE,975,WARNETON MAIRIE / QUESNOY LE PONT,,3,,C8C8C8,000000
978,ILE,978,QUESNOY LE PLAQUET / TOURCOING GAMBETTA,,3,,C8C8C8,000000
60E,ILE,60E,VDA LES PRES EDGARD PISANI - LEERS EGLISE,,3,,831002,FFFFFF
MWR,ILE,MWR,ROUBAIX EUROTELEPORT / MOUSCRON GARE,,3,,FFD500,000000
67,ILE,67,VENDEVILLE<> PORTE DE DOUAI,,3,,FFCC00,000000
80,ILE,80,ERQUINGHEM LYS - SAINT PHILIBERT,,3,,FFCC00,000000
N1,ILE,N1,4 CANTONS <> LILLE PORTE DE DOUAI,,3,,1D1C1B,FFFFFF
Z3,ILE,Z3,LESQUIN GARE / ZA MELANTOIS / 4 CANTONS,,3,,FFCC00,000000
55,ILE,55,LILLE / TEMPLEMARS / SECLIN,,3,,A877B2,FFFFFF
917,ILE,917,SAINGHIN EN WEPPES - BLUM,,3,,C8C8C8,000000
930,ILE,930,SALOMÉ - BEAUPRÉ,,3,,C8C8C8,000000
51,ILE,51,GARE LILLE FLANDRES <>  VERLINGHEM,,3,,E84E0F,FFFFFF
923,ILE,923,WAMBRECHIES <> JEAN PERRIN,,3,,C8C8C8,000000
926,ILE,926,HELLEMMES - ST EXUPERY,,3,,C8C8C8,000000
929,ILE,929,LA FRANQUISE - BEAUCAMPS,,3,,C8C8C8,000000
932,ILE,932,WICRES - COLLEGE LA BASSÉE,,3,,C8C8C8,000000
CITT,ILE,CITT,PROM DE FLANDRE <> TCG CENTRE <> TCG CCAL,,3,,E6007E,FFFFFF
CITL,ILE,CITL,P. DES POSTES <> CHU <> REPUBLIQUE,,3,,E6007E,FFFFFF
36,ILE,36,CROIX ST PIERRE <> FOREST RUE DE TRESSIN,,3,,A877B2,FFFFFF
89,ILE,89,BONDUES<>TOURCOING,,3,,802E77,FFFFFF
Z8,ILE,Z8,4 CANTONS/CRT LESQUIN/4 CANTONS,,3,,D20A11,FFFFFF
935,ILE,935,LA BASSÉE - BEAUPRÉ,,3,,C8C8C8,000000
78,ILE,78,BAISIEUX - ROUBAIX,,3,,F29400,FFFFFF
88,ILE,88,COMINES-WAMBRECHIES <> LILLE EUROPE,,3,,802E77,FFFFFF
Z6,ILE,Z6,GARE J. LEBAS <> WATTRELOS ZAC WINHOUTTE,,3,,FFCC00,000000
903,ILE,903,BONDUES - MARCQ COLLEGE,,3,,C8C8C8,000000
934,ILE,934,LA BASSÉE - CHR B CALMETTE,,3,,C8C8C8,000000
CITH,ILE,CITH,HALLUIN HDV - HALLUIN HDV,,3,,E6007E,FFFFFF
NVL,ILE,NVL,RIHOUR>LION D'OR>PONT NEUF>RUE ROYALE,,3,,E6007E,FFFFFF
86,ILE,86,COMINES GARE <> LILLE EUROPE,,3,,E2001A,FFFFFF
968,ILE,968,TOUFFLERS - ST ADRIEN,,3,,C8C8C8,000000
969,ILE,969,PAVÉ DE LILLE - ST ADRIEN,,3,,C8C8C8,000000
17,ILE,17,WATTRELOS CENTRE-TOURCOING CENTRE,,3,,007835,FFFFFF
CIT5,ILE,CIT5,ROUBAIX FRATERNITE <> WATTRELOS CENTRE,,3,,E6007E,FFFFFF
902,ILE,902,WAMBRECHIES - CROIX BLANCHE,,3,,C8C8C8,000000
906,ILE,906,WASQUEHAL - MARCQ COLLEGE,,3,,C8C8C8,000000
910,ILE,910,WILLEMS - ST ADRIEN,,3,,C8C8C8,000000
912,ILE,912,SECLIN - BEAUPRE,,3,,C8C8C8,000000
914,ILE,914,SEQUEDIN - JULES FERRY,,3,,C8C8C8,000000
916,ILE,916,CHR B - BEAUPRE,,3,,C8C8C8,000000
919,ILE,919,RONCHIN - CHARLEMAGNE,,3,,C8C8C8,000000
921,ILE,921,TEMPLEMARS - CHARLEMAGNE,,3,,C8C8C8,000000
32,ILE,32,VDA HÔTEL DE VILLE <> WASQUEHAL JP SARTRE,,3,,802E77,FFFFFF
L91E,ILE,L91E,HALLUIN <> LILLE,,3,,00ACA5,FFFFFF
87,ILE,87,LINSELLES CIMETIERE - TOURCOING CENTRE,,3,,FFDD00,000000
84,ILE,84,COMINES GLYCINES - TOURCOING CENTRE,,3,,C69DC9,FFFFFF
13,ILE,13,LILLE FIVES <> V.D'ASCQ HÔTEL DE VILLE,,3,,009767,FFFFFF
Z1,ILE,Z1,TOURCOING GARE - NEUVILLE RECKEM,,3,,FFD631,000000
30,ILE,30,WASQUEHAL JP SARTRE <> TOURCOING CENTRE,,3,,EF7D00,FFFFFF
33,ILE,33,LEERS EGLISE <> TOURCOING EINSTEIN,,3,,76B82A,FFFFFF
904,ILE,904,MOUVAUX - MARCQ COLLEGE,,3,,C8C8C8,000000
905,ILE,905,MOUVAUX - MARCQ COLLEGE,,3,,C8C8C8,000000
908,ILE,908,WAMBRECHIES CHATEAU - COLLEGE DEBEYRE,,3,,C8C8C8,000000
911,ILE,911,HEM - ST ADRIEN,,3,,C8C8C8,000000
913,ILE,913,EMMERIN - JULES FERRY,,3,,C8C8C8,000000
915,ILE,915,LOMME DELIVRANCE - BEAUPRE,,3,,C8C8C8,000000
920,ILE,920,WATTIGNIES - CHARLEMAGNE,,3,,C8C8C8,000000
922,ILE,922,COLLÈGE MOLIÈRE,,3,,C8C8C8,000000
927,ILE,927,HOUPLIN ANCOISNE - VOLTAIRE,,3,,C8C8C8,000000
928,ILE,928,SALOMÉ - BEAUCAMPS LIGNY,,3,,C8C8C8,000000
