stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PSU001,Pont Superieur,RUE AUGUSTE BONTE 59130 LAMBERSART -,50.644993,3.014019,1,,0,1003,,0
PHE003,Poste,BOULEVARD CLEMENCEAU 59510 HEM - A L'OPPOSE DU N° 121,50.660672,3.184409,1,,0,5618,,0
VCE001,Cheval Blanc,RUE DE PERENCHIES 59237 VERLINGHEM - AU DROIT DU GARAGE RENAULT,50.680293,2.996766,1,,0,4494,,0
RDJ001,Rue De Jemmapes,AVENUE DE PARIS 59155 FACHES THUMESNIL -,50.594175,3.07654,1,,0,345,,0
WRP002,Republique,PLACE DE LA REPUBLIQUE 59136 WAVRIN -,50.568825,2.931685,1,,0,2215,,0
SJO002,Eglise St Joseph,RUE DES ECOLES 59510 HEM - AU DROIT DU N° 2,50.663469,3.188591,1,,0,5619,,0
RHA002,Rue D'Haubourdin,RUE CARNOT 59155 FACHES THUMESNIL - À GAUCHE DU 245,50.599696,3.06839,1,,0,342,,0
RDS001,Saut Du Loup,RUE RUE DU BOURG 59130 LAMBERSART - AU DROIT DES APPARTEMNTS,50.655004,3.03477,1,,0,5923,,0
LJU002,Jussieu,AVENUE BECQUART 59130 LAMBERSART -,50.650649,3.03564,1,,0,5947,,0
FVE002,Verdun,RUE DU GENERAL LECLERC 59155 FACHES THUMESNIL - AU DROIT DU N° 337,50.591083,3.085034,1,,0,6638,,0
PHE001,Poste,BOULEVARD CLEMENCEAU 59510 HEM - AU DROIT DU N° 117,50.660033,3.184666,1,,0,5618,,0
ROY002,Pont Royal,AVENUE DU BOIS 59130 LAMBERSART - AVANT CARREFOUR RUE DE LILLE,50.648663,3.045658,1,,0,8018,,0
HLV001,Hem La Vallee,AVENUE ANTOINE PINAY 59510 HEM - APRÈS LA RUE DU CALVAIRE,50.648996,3.196909,1,,0,523,,0
VEG002,Verghelles,AVENUE DE VIERSEN 59130 LAMBERSART -,50.652195,3.005905,1,,0,5922,,0
REC001,Rue Des Ecoles,RUE DE LA LIONDERIE 59510 HEM - AU DROIT DU N° 87,50.663237,3.191029,1,,0,5620,,0
CAB003,Croix Au Bois,ANGLE RUE DE QUESNOY 59236 FRELINGHIEN - 10M AVANT LE ROND POINT,50.696716,2.976336,1,,0,383,,0
MMC002,Calvaire,RUE DE L'ARBRE DE PARADIS 59274 MARQUILLIES -,50.551477,2.86841,1,,0,7024,,0
RUB003,Rubens,AVENUE DU GENERAL LECLERC 59155 FACHES THUMESNIL -,50.594819,3.082905,1,,0,1337,,0
ENT002,Pa V. Nord Est,RUE DE LA PAPINERIE 59390 LYS LEZ LANNOY - A L'OPP DU N° 71,50.672936,3.226343,1,,0,8986,,0
LLI001,Liberte,AVENUE DU GENERAL DE GAULLE 59130 LAMBERSART - À DROITE DU N°57,50.65489,3.029547,1,,0,641,,0
MAV002,Marais,RUE DU GENERAL KOENIG 59136 WAVRIN - À L'OPPPOSÉ DU N°58,50.563078,2.927335,1,,0,2220,,0
EIF002,Tour Eiffel,RUE DU GÉNÉRAL LECLERC 59390 LYS LEZ LANNOY - AU DROIT DU N° 25,50.665476,3.214524,1,,0,1087,,0
BLN002,Blanchisserie,59510 HEM -,50.661241,3.201989,1,,0,7940,,0
ARY003,La Carnoy,AVENUE DE L'HIPPODROME 59130 LAMBERSART - A L'OPP DU N° 400,50.650691,3.023281,1,,0,3952,,0
ZAR002,Zone Artisanale,RUE COLBERT 59510 HEM - 100 M APRES BD CLEMENCEAU,50.665208,3.180788,1,,0,511,,0
MRS002,Route De Sainghin,RUE JULIOT CURIE 59274 MARQUILLIES -,50.553583,2.872953,1,,0,1201,,0
RDL002,Rue De L'Oise,ROUTE D'ARRAS 59155 FACHES THUMESNIL - À L'OPPOSÉ DE LA RÉSIDENCE SUD,50.612016,3.06176,1,,0,358,,0
CHE002,Chemin De Sainghin,RUE D'YPRES 59237 VERLINGHEM - AU DROIT D UN CHAMP,50.699669,3.011314,1,,0,1896,,0
WMA001,Mairie,ROUTE DE DEULEMONT 59560 WARNETON - A L'OPP DU N°9,50.747292,2.951595,1,,0,2043,,0
VMO001,Le Moulin,CHEMIN DE MESSINES 59237 VERLINGHEM - À L'OPPOSÉ DU N°36,50.677334,3.013144,1,,0,6329,,0
VOI002,Voisinage,AVENUE HENRI DELCROIX 59510 HEM - AU DROIT DU CAMPANILE,50.644578,3.193743,1,,0,522,,0
VEM003,Verdun,RUE DU MOISNIL 59274 MARQUILLIES - À L'OPPOSÉ DU N°36,50.553835,2.86452,1,,0,7805,,0
SUE001,Guesde,RUE FERRER 59155 FACHES THUMESNIL -,50.610473,3.064811,1,,0,346,,0
AVE002,L'Aventure,CHEMIN DE L'AVENTURE 59236 FRELINGHIEN -,50.688602,2.947132,1,,0,380,,0
TEM001,Eglise,PLACE GUSTAVE DELECROIX 59175 TEMPLEMARS - AU DROIT DE LA POSTE,50.571026,3.054363,1,,0,1705,,0
FUN002,Le Funquereau,RUE DE QUESNOY 59236 FRELINGHIEN -,50.686036,2.966952,1,,0,387,,0
WPT001,Petites Haies,RUE DE WAVRIN D241 59136 WAVRIN - AU DROIT MAGASIN VERTIGE BIO,50.585805,2.943215,1,,0,6392,,0
AUL002,Centre Commercial,RUE GAMBETTA 59390 LYS LEZ LANNOY - OPPOSE AU COLLEGE GAMBETTA,50.678935,3.215269,1,,0,1097,,0
MRS001,Route De Sainghin,ROUTE DE SAINGHIN 59274 MARQUILLIES -,50.553841,2.873476,1,,0,1201,,0
CAB001,Croix Au Bois,RUE DE  MESSINNES 59236 FRELINGHIEN - EN SORTIE DU ROND POINT,50.696827,2.977369,1,,0,383,,0
VPO002,Mairie,RUE JULES GUESDE 59175 TEMPLEMARS -,50.575923,3.053151,1,,0,1701,,0
LAH002,La Houlette,ROUTE DE MESSINES 59236 FRELINGHIEN -,50.70632,2.955597,1,,0,377,,0
LFT001,La Fontaine,RUE JEAN-BAPTISTE LEBAS 59136 WAVRIN -,50.566279,2.925725,1,,0,2872,,0
LFT002,La Fontaine,JEAN-BAPTISTE LEBAS 59136 WAVRIN - À L'OPPOSÉ DU N°43,50.566377,2.925839,1,,0,2872,,0
KOE001,Koenig,59136 WAVRIN -,50.566383,2.928515,1,,0,2223,,0
TIM004,Tilmant,RUE FAUBOURG D'ARRAS 59155 FACHES THUMESNIL -,50.607911,3.059558,1,,0,949,,0
EIF001,Tour Eiffel,RUE DU GENERAL LECLERC 59390 LANNOY - AU DROIT DU N°24,50.665233,3.214633,1,,0,679,,0
VMO002,Le Moulin,RUE DE MESSINES 59237 VERLINGHEM - OPP AU CHAMP,50.677685,3.012881,1,,0,6329,,0
HPM002,Hempempont,RUE DU GÉNÉRAL LECLERC 59510 HEM - À L'OPPOSÉ DU N° 236,50.654562,3.174033,1,,0,512,,0
CDO001,Canon D'Or,RUE DE LILLE 59130 LAMBERSART - AU DROIT DES NOUVEAUX BATIMENT,50.648423,3.043848,1,,0,637,,0
FLP001,Fort De Lompret,ROUTE DE PÉRENCHIES 59840 LOMPRET - AU DROIT DU N° 17,50.673745,2.984794,1,,0,5956,,0
LBO004,Lambersart Bourg,RUE DESMAZIERES 59130 LAMBERSART - A L OPPOSE DU N° 33,50.65301,3.02725,1,,0,7092,,0
LTE003,Le Temple,ROUTE DE PÉRENCHIES 59237 VERLINGHEM - ANGLE CHEM. DU VIEUX SOLDAT,50.670933,2.978787,1,,0,5819,,0
AMM001,Mozart,AVENUE DE LA MARNE 59510 HEM - A L OPPOSE DU N° 99,50.667915,3.178547,1,,0,8930,,0
CDO002,Canon D'Or,RUE DE LILLE 59130 LAMBERSART - A L'OPPOSE DU N°294,50.64901,3.043024,1,,0,637,,0
MHM001,Mairie,RUE DU GENERAL LECLERC 59510 HEM - AU DROIT DU N° 46,50.654441,3.182568,1,,0,514,,0
REC002,Rue Des Ecoles,RUE DES ECOLES 59510 HEM - AU DROIT DU N° 82,50.663648,3.191149,1,,0,5620,,0
AMA001,Mairie,RUE CAMILLE DUFAY 59152 ANSTAING - AU DROIT DU N° 10,50.604084,3.189864,1,,0,97,,0
VPO001,Mairie,RUE JULES GUESDE 59175 TEMPLEMARS - AU DROIT DE L'HOTEL DE VILLE,50.57613,3.052929,1,,0,1701,,0
PAC001,Rue D'Ennetieres,ROUTE D'ENNETIERES 59175 TEMPLEMARS - APRÈS ANGLE RUE DE L'ÉPINOY,50.566098,3.064124,1,,0,6932,,0
LEK004,Laennec,AVENUE LAENNEC 59510 HEM - A L OPPOSE DU N° 57,50.666384,3.197688,1,,0,6939,,0
ALT003,Calmette,AVENUE LAENNEC 59510 HEM -,50.667714,3.193378,1,,0,7209,,0
AVU001,Avenue De Gaulle,AVENUE DE GAULLE 59130 LAMBERSART -,50.653722,3.031549,1,,0,9157,,0
AVU002,Avenue De Gaulle,AVENUE DE GAULLE 59130 LAMBERSART - À L'OPPOSÉ DU N°9 BIS,50.653812,3.031536,1,,0,9157,,0
OLP001,Olympiade,RUE LAMBERSART 59237 VERLINGHEM - AU DROIT DU N°10,50.678547,2.99783,1,,0,9158,,0
OLP002,Olympiade,RUE LAMBERSART 59237 VERLINGHEM - A L'OPPPOSÉ DU N°10,50.678582,2.997887,1,,0,9158,,0
COI001,Bon Coin,RUE ARMENTIERES 59236 FRELINGHIEN -,50.707141,2.928925,1,,0,384,,0
JAP002,La Jappe,RUE DE LA JAPPE 59155 FACHES THUMESNIL - A L'OPP DU N° 9,50.601175,3.071682,1,,0,354,,0
SLU002,Saint Luc,RUE PIERRE FRANCOIS DEPLECHIN 59390 LYS LEZ LANNOY - AU DROIT DU N° 1,50.671849,3.217685,1,,0,1091,,0
WPT002,Petites Haies,RUE ANATOLE FRANCE 59136 WAVRIN - A L'OPP DU MAGASIN VERTIGE BIO,50.586295,2.94387,1,,0,6392,,0
SBA002,Sainte Barbe,ROUTE D'ARMENTIERES 59560 WARNETON - A L'OPP DE LA FERME,50.743922,2.970693,1,,0,2040,,0
MAV001,Marais,RUE DU GENERAL KOENIG 59136 WAVRIN -,50.563284,2.927309,1,,0,2220,,0
SAT002,Dunant,AVENUE HENRI DUNANT 59510 HEM - A L OPPOSE DU N° 221,50.668421,3.201421,1,,0,4672,,0
AUL001,Centre Commercial,RUE GAMBETTA 59390 LYS LEZ LANNOY -,50.680244,3.215264,1,,0,1097,,0
MAF001,Marechal Foch,AVENUE DE L HIPPODROME 59130 LAMBERSART -,50.648347,3.025492,1,,0,3985,,0
LPT002,La Chapelette,CHEMIN DE L'AVENTURE 59236 FRELINGHIEN -,50.692337,2.940936,1,,0,382,,0
LTE001,Le Temple,ROUTE DE PÉRENCHIES 59840 LOMPRET - ANGLE CHEM. DU VIEUX SOLDAT,50.671172,2.979439,1,,0,5819,,0
ZAF001,Zone Artisanale,RUE ARMENTIERES 59236 FRELINGHIEN - À GAUCHE DU N°11,50.709085,2.931138,1,,0,5806,,0
BTM002,Boutemy,RUE JULES GUESDE 59390 LANNOY - AU DROIT DU N° 14,50.66897,3.210083,1,,0,683,,0
DER001,Lionderie,RUE JULES GUESDE 59510 HEM - À L'OPPOSÉ DU N° 236,50.659087,3.194359,1,,0,516,,0
PAC003,Rue D'Ennetieres,RUE D'ENNETIÈRES 59175 TEMPLEMARS - AU DROIT DES ETS FICHORGA,50.565553,3.065187,1,,0,6932,,0
NCI002,Cimetiere,RUE PASTEUR 59152 ANSTAING - AU DROIT DU N° 15A,50.606579,3.18713,1,,0,99,,0
RDB001,Rue De Bordeaux,RUE HENRI DILLIES 59155 FACHES THUMESNIL - À DROITE DU N°42,50.595478,3.080646,1,,0,5550,,0
SPH001,Eglise Saint Paul,AVENUE GORGHEMETZ 59510 HEM - AU DROIT DU N° 3,50.670262,3.177641,1,,0,513,,0
MQL001,Mairie,RUE LEON BOCQUET 59274 MARQUILLIES - AU DROIT DE L'EGLISE,50.558288,2.869961,1,,0,5685,,0
ENT001,Pa V. Nord Est,RUE DE LA PAPINERIE 59390 LYS LEZ LANNOY - AU DROIT DU N°65,50.672735,3.226805,1,,0,8986,,0
CEN001,Centre,PLACE DES COMBATTANTS 59236 FRELINGHIEN - À L'OPPOSÉ DU N°10,50.712192,2.932305,1,,0,5808,,0
SCC005,Sainte Cecile,AVENUE DE L'HIPPODROME 59130 LAMBERSART -,50.642345,3.030389,1,,0,675,,0
FAM001,Mairie,RUE ROGER SALENGRO 59155 FACHES THUMESNIL - À DROITE DU N°8,50.603974,3.068565,1,,0,355,,0
ARY001,La Carnoy,RUE DE LA CARNOY 59130 LAMBERSART - AU DROIT DU N° 5,50.651055,3.02244,1,,0,3952,,0
AMA002,Mairie,RUE CAMILLE DUFAY 59152 ANSTAING - A L'OPPOSE DU N° 12,50.604111,3.189907,1,,0,97,,0
MOI002,Rue Du Moisnil,RUE DU MOISNIL 59274 MARQUILLIES - A L'OPPOSE DU N° 564,50.551683,2.85788,1,,0,1199,,0
COT002,Coty,RUE AVENUE DU PRESIDENT COTY 59510 HEM -,50.67076,3.19909,1,,0,4720,,0
BOC002,Le Bocage,RUE DE L'EGLISE 59840 LOMPRET -,50.667703,2.992619,1,,0,1041,,0
NMI001,Cimetiere Nord,RUE DE VERLINGHEM 59130 LAMBERSART - À L'OPPOSÉ DU N°162,50.656961,3.020178,1,,0,3986,,0
SJO001,Eglise St Joseph,RUE DES ECOLES 59510 HEM - A L OPPOSE DU N° 2,50.66364,3.188383,1,,0,5619,,0
LVI001,Victoire,AVENUE GEORGES CLEMENCEAU 59130 LAMBERSART -,50.646616,3.023832,1,,0,633,,0
ZAR001,Zone Artisanale,RUE COLBERT 59510 HEM - 50 M AVANT LE BD CLEMENCEAU,50.665046,3.180983,1,,0,511,,0
LAN001,Place,RUE VENDOME 59390 LANNOY - A L'OPP DU N°2,50.666977,3.210345,1,,0,682,,0
NSE002,Fresnoy,RUE RUE DU FRESNOY 59390 LYS LEZ LANNOY - AU DROIT DU N° 38,50.673689,3.226286,1,,0,1085,,0
LCL001,Clouet,RUE DU BOURG 59130 LAMBERSART - A L'OPP DU N° 246,50.652535,3.030517,1,,0,5930,,0
